metric,value
top3_optional.structural_margin_puzzle.std,0.08747623789767535
top3_optional.structural_margin_puzzle.q25,-0.0013352096327079732
top3_optional.structural_margin_puzzle.q75,0.009641203142347704
top3_optional.structural_margin_puzzle.fraction_gt_zero,0.5595238095238095
top3_optional.structural_margin_puzzle.fraction_eq_zero,0.08333333333333333
top3_optional.structural_margin_puzzle.fraction_lt_zero,0.35714285714285715
top5.top_k,5
top5.eligible_descriptor_count,95
top5.eligible_puzzle_count,89
top5.candidate_mode_count,453
top5.pooled_auc,0.5491473096148192
top5.pooled_auc_bootstrap.estimate,0.5491473096148192
top5.pooled_auc_bootstrap.ci95_low,0.5320097818776116
top5.pooled_auc_bootstrap.ci95_high,0.5710419177361715
top5.pooled_auc_bootstrap.bootstrap_resamples,10000
top5.pooled_auc_bootstrap.valid_bootstrap_resamples,10000
top5.pooled_auc_bootstrap.bootstrap_unit,puzzle
top5.pairwise_accuracy,0.729868913857678
top5.pairwise_bootstrap.estimate,0.729868913857678
top5.pairwise_bootstrap.ci95_low,0.6643258426966292
top5.pairwise_bootstrap.ci95_high,0.7940074906367042
top5.pairwise_bootstrap.bootstrap_resamples,10000
top5.pairwise_bootstrap.bootstrap_unit,puzzle
top5.preference_counts_puzzle.correct_preferred,59
top5.preference_counts_puzzle.tie,15
top5.preference_counts_puzzle.wrong_preferred,15
top5.preference_counts_descriptor.correct_preferred,62
top5.preference_counts_descriptor.tie,15
top5.preference_counts_descriptor.wrong_preferred,18
top5.per_puzzle_auc.mean,0.729868913857678
top5.per_puzzle_auc.median,0.8333333333333334
top5.per_puzzle_auc.std,0.3135585915057344
top5.per_puzzle_auc.count,89
top5.per_puzzle_auc.definition,mean of pair-scoped descriptor AUROCs within each puzzle
top5.structural_margin_descriptor.count,95
top5.structural_margin_descriptor.mean,-0.007196279817549933
top5.structural_margin_descriptor.median,0.0
top5.structural_margin_descriptor.std,0.04078833879053025
top5.structural_margin_descriptor.q25,-0.005264868947076062
top5.structural_margin_descriptor.q75,0.0038467288017272616
top5.structural_margin_descriptor.fraction_gt_zero,0.45263157894736844
top5.structural_margin_descriptor.fraction_eq_zero,0.08421052631578947
top5.structural_margin_descriptor.fraction_lt_zero,0.4631578947368421
top5.structural_margin_puzzle.count,89
top5.structural_margin_puzzle.mean,-0.005616692105868069
top5.structural_margin_puzzle.median,0.0
top5.structural_margin_puzzle.std,0.03948539763939379
top5.structural_margin_puzzle.q25,-0.0026923077992904165
top5.structural_margin_puzzle.q75,0.003999996185302668
top5.structural_margin_puzzle.fraction_gt_zero,0.47191011235955055
top5.structural_margin_puzzle.fraction_eq_zero,0.0898876404494382
top5.structural_margin_puzzle.fraction_lt_zero,0.43820224719101125
b1_failure_subset.descriptor_count,47
b1_failure_subset.puzzle_count,46
b1_failure_subset.preference_counts_descriptor.correct_preferred,14
b1_failure_subset.preference_counts_descriptor.tie,0
b1_failure_subset.preference_counts_descriptor.wrong_preferred,33
b1_failure_subset.preference_fractions_descriptor.correct_preferred,0.2978723404255319
b1_failure_subset.preference_fractions_descriptor.tie,0.0
b1_failure_subset.preference_fractions_descriptor.wrong_preferred,0.7021276595744681
b1_failure_subset.preference_counts_puzzle.correct_preferred,14
b1_failure_subset.preference_counts_puzzle.tie,0
b1_failure_subset.preference_counts_puzzle.wrong_preferred,32
b1_failure_subset.preference_fractions_puzzle.correct_preferred,0.30434782608695654
b1_failure_subset.preference_fractions_puzzle.tie,0.0
b1_failure_subset.preference_fractions_puzzle.wrong_preferred,0.6956521739130435
b1_failure_subset.puzzle_local_pairwise_accuracy,0.30434782608695654
bootstrap.resamples,10000
bootstrap.seed,42
bootstrap.unit,puzzle
bootstrap.multi_output_policy,all descriptors/modes from a sampled puzzle remain grouped
classification.case,CASE B — MEASURABLE LOCAL SIGNAL
classification.reason,At least one primary local metric is >=0.60 and its puzzle-bootstrap CI excludes chance in the useful direction.
validation.cache_fingerprint_before.npz_files,419
validation.cache_fingerprint_before.npz_bytes,14655304
validation.cache_fingerprint_before.aggregate_sha256,6cb320cb9b0e45c114d95722654663d2b7e98b01027a1d4a647c21ea4ce60fa1
validation.cache_fingerprint_after.npz_files,419
validation.cache_fingerprint_after.npz_bytes,14655304
validation.cache_fingerprint_after.aggregate_sha256,6cb320cb9b0e45c114d95722654663d2b7e98b01027a1d4a647c21ea4ce60fa1
validation.cache_unchanged,True
validation.committed_split_sha256_before,0f6e16e36c3b37703928a294655905d4af659fcda5f9f8b12d5d336931a6106d
validation.committed_split_sha256_after,0f6e16e36c3b37703928a294655905d4af659fcda5f9f8b12d5d336931a6106d
validation.committed_split_unchanged,True
validation.existing_results_fingerprint_before.files,21
validation.existing_results_fingerprint_before.bytes,159889
validation.existing_results_fingerprint_before.aggregate_sha256,3d47a841c13904ba4dbe10ac5f7e69adc80b48369e65d35d48e2577258f455ac
validation.existing_results_fingerprint_after.files,21
validation.existing_results_fingerprint_after.bytes,159889
validation.existing_results_fingerprint_after.aggregate_sha256,3d47a841c13904ba4dbe10ac5f7e69adc80b48369e65d35d48e2577258f455ac
validation.existing_results_unchanged,True
validation.focused_cpu_tests.failed,0
validation.focused_cpu_tests.passed,4
validation.focused_cpu_tests.status,passed
validation.cuda_visible_devices,
validation.torch_imported,False
validation.held_out_cache_payloads_loaded,0
validation.release_cpu_tests.failed,0
validation.release_cpu_tests.passed,20
validation.release_cpu_tests.runner,dependency-free function runner (pytest is not installed in the existing project environment)
validation.release_cpu_tests.status,passed
runtime_seconds,138.8690940970555
