puzzle_id,task_id,pair_index,grid_id,vote_rank,vote_count,vote_share,correct,raw_d,oriented_structural_score,m1_effective_score,m1_rank,mean_q,height,width,candidate_shape,is_invalid,top_k,eligible_mixed,structural_margin
00576224,00576224#0,0,d54ef9c901ec3073cb26,1,1001,1.0,1,0.0,0.0,0.9999999999999875,1,0.9998067211914253,6,6,6x6,0,5,0,
0607ce86,0607ce86#0,0,9084a3fdb50df8cf671b,1,988,0.987012987012987,1,0.850649356842041,0.850649356842041,0.9876582853075223,1,0.9792001333072601,24,22,24x22,0,5,1,0.00027056251253398944
0607ce86,0607ce86#0,0,f28ada051408d37f18d4,2,4,0.003996003996003996,0,0.8344155975750515,0.8344155975750515,0.00393422800939636,2,0.9961138516664505,24,22,24x22,0,5,1,0.00027056251253398944
0607ce86,0607ce86#0,0,f1d6dfa69ed809d66eed,3,3,0.002997002997002997,0,0.849296544279371,0.849296544279371,0.0029949081137300164,3,0.7990289231141409,24,22,24x22,0,5,1,0.00027056251253398944
0607ce86,0607ce86#0,0,d9baf492058879459e81,4,2,0.001998001998001998,0,0.8452380980764117,0.8452380980764117,0.0019885187143193796,4,0.8028819262981415,24,22,24x22,0,5,1,0.00027056251253398944
0607ce86,0607ce86#0,0,717a34d7720e72fcaf45,5,1,0.000999000999000999,0,0.850378794329507,0.850378794329507,0.0009993837025783108,5,0.9774304032325745,24,22,24x22,0,5,1,0.00027056251253398944
0a2355a6,0a2355a6#0,0,91437534f78b1a3d44ec,1,87,0.08691308691308691,0,0.8221139942005182,0.8221139942005182,0.0901831232588358,1,0.7196681786371374,15,17,15x17,0,5,0,
0a2355a6,0a2355a6#0,0,325ed32e376638a0bdf2,2,79,0.07892107892107893,0,0.8011323543870525,0.8011323543870525,0.08019012679508343,2,0.7690924090109293,15,17,15x17,0,5,0,
0a2355a6,0a2355a6#0,0,044bf6592ae6b17e4d5a,3,44,0.04395604395604396,0,0.7951792303923588,0.7951792303923588,0.044397761764473694,3,0.7452330352230505,15,17,15x17,0,5,0,
0a2355a6,0a2355a6#0,0,1a6f512c013a21e9ec1b,4,38,0.03796203796203796,0,0.7724407945468927,0.7724407945468927,0.037481487612591846,4,0.7985295245521947,15,17,15x17,0,5,0,
0a2355a6,0a2355a6#0,0,37164497a3b352415656,5,37,0.03696303696303696,0,0.7793847181994444,0.7793847181994444,0.03674943399304751,5,0.7945553310014106,15,17,15x17,0,5,0,
0bb8deee,0bb8deee#0,0,c4a1c8e425bb41d823e3,1,120,0.11988011988011989,0,0.581068841740489,0.581068841740489,0.13103602425689514,1,0.8739413648222883,6,6,6x6,0,5,0,
0bb8deee,0bb8deee#0,0,d6f2b14a742134d9801f,2,70,0.06993006993006994,0,0.5618961353826782,0.5618961353826782,0.07498612321625918,2,0.8356544135936669,6,6,6x6,0,5,0,
0bb8deee,0bb8deee#0,0,b76dd28e16abb98e9764,3,41,0.04095904095904096,0,0.5050573652691167,0.5050573652691167,0.04149368002873943,3,0.6764512032997317,6,6,6x6,0,5,0,
0bb8deee,0bb8deee#0,0,73538637377d338db3cc,4,24,0.023976023976023976,0,0.06444099432100421,0.06444099432100421,0.015633351047268224,7,0.47479359650363523,7,7,7x7,0,5,0,
0bb8deee,0bb8deee#0,0,8bdc045b189ae7f72602,5,17,0.016983016983016984,0,0.5782004838566417,0.5782004838566417,0.01851026648167931,4,0.8955266405554378,6,6,6x6,0,5,0,
0becf7df,0becf7df#0,0,881293d7f62c1b7ad293,1,444,0.4435564435564436,1,0.8568907530367875,0.8568907530367875,0.4444616430832462,1,0.9130919535082203,10,10,10x10,0,5,1,-0.0052100840736838405
0becf7df,0becf7df#0,0,a5e6f90ee3628bcfce27,2,334,0.3336663336663337,0,0.8621008371104714,0.8621008371104714,0.3360937952619001,2,0.8922023576109888,10,10,10x10,0,5,1,-0.0052100840736838405
0becf7df,0becf7df#0,0,5293277b3d2f6156a064,3,39,0.03896103896103896,0,0.7859663697851806,0.7859663697851806,0.03636753421218651,3,0.9545771708855262,10,10,10x10,0,5,1,-0.0052100840736838405
0becf7df,0becf7df#0,0,08b48c49f47ff6bdfd09,4,32,0.03196803196803197,0,0.8557983171038267,0.8557983171038267,0.03199829638420502,4,0.6098036889452487,10,10,10x10,0,5,1,-0.0052100840736838405
0becf7df,0becf7df#0,0,82b2d6fe69ca3479333d,5,15,0.014985014985014986,0,0.859495798579785,0.859495798579785,0.015054763355833022,5,0.6880336284637452,10,10,10x10,0,5,1,-0.0052100840736838405
0c9aba6e,0c9aba6e#0,0,d895ed8fd6f53b8bf905,1,1001,1.0,1,0.0,0.0,0.9999999999999875,1,0.9992376273566788,6,4,6x4,0,5,0,
0d87d2a6,0d87d2a6#0,0,7a22412305f8041165f5,1,137,0.2378472222222222,0,0.9481992084329779,0.9481992084329779,0.2363554694911566,1,0.6984699324425989,23,25,23x25,0,5,0,
0d87d2a6,0d87d2a6#0,0,b6275b12f988bce5ae61,2,30,0.052083333333333336,0,0.9662102742628618,0.9662102742628618,0.05269731050189417,2,0.10988957627365986,23,25,23x25,0,5,0,
0d87d2a6,0d87d2a6#0,0,99e0f28bad9252c8350d,3,14,0.024305555555555556,0,0.9467636342482133,0.9467636342482133,0.024118464960509282,3,0.46789095444338663,23,25,23x25,0,5,0,
0d87d2a6,0d87d2a6#0,0,6a31995d980cfa9a402f,4,14,0.024305555555555556,0,0.9466181804917075,0.9466181804917075,0.024114957094301965,4,0.4365663778569017,23,25,23x25,0,5,0,
0d87d2a6,0d87d2a6#0,0,88b124bfc075c38a74ae,5,13,0.022569444444444444,0,0.9672474291107871,0.9672474291107871,0.022859197454489392,5,0.10808435311684242,23,25,23x25,0,5,0,
0f63c0b9,0f63c0b9#0,0,5a931347a566bb997d8f,1,431,0.4305694305694306,0,0.9877777794996897,0.9877777794996897,0.4299052350212227,1,0.8937468798420546,15,15,15x15,0,5,1,0.0018518567085266113
0f63c0b9,0f63c0b9#0,0,beeb381b1249a1794a11,2,426,0.4255744255744256,1,0.9914814879496893,0.9914814879496893,0.42649462545652655,2,0.9225031431292144,15,15,15x15,0,5,1,0.0018518567085266113
0f63c0b9,0f63c0b9#0,0,eb6eb59eef9c5e55f46c,3,59,0.058941058941058944,0,0.9870370378096899,0.9870370378096899,0.05880655997250195,3,0.9120400967234272,15,15,15x15,0,5,1,0.0018518567085266113
0f63c0b9,0f63c0b9#0,0,0734501a06c8bb1ae943,4,41,0.04095904095904096,0,0.9896296312411627,0.9896296312411627,0.04097166085549878,4,0.6510929290841265,15,15,15x15,0,5,1,0.0018518567085266113
0f63c0b9,0f63c0b9#0,0,a3b28731c62fa676007b,5,18,0.017982017982017984,0,0.9855555593967438,0.9855555593967438,0.017914424895819746,5,0.7878107693460252,15,15,15x15,0,5,1,0.0018518567085266113
12eac192,12eac192#0,0,18132dd6329b918a1b87,1,73,0.07292707292707293,0,0.8773421457905544,0.8773421457905544,0.07360566013656185,1,0.6813558034905015,8,8,8x8,0,5,0,
12eac192,12eac192#0,0,598408e68876385ef8d4,2,20,0.01998001998001998,0,0.8858444558521561,0.8858444558521561,0.0203381222705015,2,0.7442158974707127,8,8,8x8,0,5,0,
12eac192,12eac192#0,0,dc23f2ea6a3b08bc6547,3,17,0.016983016983016984,0,0.8694815195071869,0.8694815195071869,0.0170068329822402,3,0.537951293237069,8,8,8x8,0,5,0,
12eac192,12eac192#0,0,c02bd483df52292155d9,4,16,0.015984015984015984,0,0.8885395277207392,0.8885395277207392,0.016314407120141046,4,0.7837490048259497,8,8,8x8,0,5,0,
12eac192,12eac192#0,0,2d9ac8d13d27bc3f27c9,5,16,0.015984015984015984,0,0.8797163757700205,0.8797163757700205,0.016171095785681572,5,0.563425250351429,8,8,8x8,0,5,0,
137f0df0,137f0df0#0,0,3f42351747b4eebfdce1,1,1000,0.999000999000999,1,0.9900000095367432,0.9900000095367432,0.9990009990009865,1,0.9952285753190517,10,10,10x10,0,5,1,0.0
137f0df0,137f0df0#0,0,651b4264b720a3775f47,2,1,0.000999000999000999,0,0.9900000095367432,0.9900000095367432,0.000999000999000999,2,0.7667768001556396,10,10,10x10,0,5,1,0.0
140c817e,140c817e#0,0,fc24c87e8e55119656e9,1,888,0.8871128871128872,1,0.9818239882588387,0.9818239882588387,0.8874129261889304,1,0.9457880376527706,14,14,14x14,0,5,1,-0.0009566321969032288
140c817e,140c817e#0,0,890789a7363a05f45826,2,36,0.03596403596403597,0,0.9779974594712257,0.9779974594712257,0.035838798798430375,2,0.7756906557414267,14,14,14x14,0,5,1,-0.0009566321969032288
140c817e,140c817e#0,0,ba4b54403c5317b80bcd,3,32,0.03196803196803197,0,0.9827806204557419,0.9827806204557419,0.0320094508162676,3,0.404873788356781,14,14,14x14,0,5,1,-0.0009566321969032288
140c817e,140c817e#0,0,9c414e9a231e0400095f,4,20,0.01998001998001998,0,0.9824617430567741,0.9824617430567741,0.019999528345675737,4,0.3690986879169941,14,14,14x14,0,5,1,-0.0009566321969032288
140c817e,140c817e#0,0,037d1a723b6e8782ced6,5,5,0.004995004995004995,0,0.9725765399634838,0.9725765399634838,0.0049507007209335825,5,0.5487566910684109,14,14,14x14,0,5,1,-0.0009566321969032288
14754a24,14754a24#0,0,4746b32c3fa920152ded,1,719,0.7182817182817183,1,0.9852262205547757,0.9852262205547757,0.7185475883890213,1,0.9942485909800205,19,19,19x19,0,5,1,-0.0006155702802869145
14754a24,14754a24#0,0,c6f62eaeaf01885a1d99,2,157,0.15684315684315683,0,0.9858417908350626,0.9858417908350626,0.15699782538531684,2,0.9043638534416818,19,19,19x19,0,5,1,-0.0006155702802869145
14754a24,14754a24#0,0,2b7a4666a35ca74cee45,3,62,0.061938061938061936,0,0.9821483559078641,0.9821483559078641,0.06177057380057776,3,0.9215630845677468,19,19,19x19,0,5,1,-0.0006155702802869145
14754a24,14754a24#0,0,65c4e0dd6d33fc18650a,4,33,0.03296703296703297,0,0.9827639328108894,0.9827639328108894,0.03289813115299008,4,0.9321117744301305,19,19,19x19,0,5,1,-0.0006155702802869145
14754a24,14754a24#0,0,bdbefc205a899dc9632d,5,13,0.012987012987012988,0,0.973838104142083,0.973838104142083,0.012844706996841255,6,0.47790892995320833,19,19,19x19,0,5,1,-0.0006155702802869145
15696249,15696249#0,0,c9c8e1bf162eef944082,1,323,0.3226773226773227,0,0.555645670333918,0.555645670333918,0.30468403058216076,1,0.9413366943436325,9,9,9x9,0,5,1,-0.27304677507520597
15696249,15696249#0,0,be2cdb96d67f02dc28b0,2,258,0.25774225774225773,0,0.6632423194220466,0.6632423194220466,0.27101635919938916,2,0.8849541449616122,9,9,9x9,0,5,1,-0.27304677507520597
15696249,15696249#0,0,d50afb4f8e4a341d5914,3,130,0.12987012987012986,1,0.47310083859810864,0.47310083859810864,0.11291243082318701,3,0.9414295038924767,9,9,9x9,0,5,1,-0.27304677507520597
15696249,15696249#0,0,9c74f3e7c215b87a76c4,4,56,0.055944055944055944,0,0.7461476136733146,0.7461476136733146,0.06391004738990659,4,0.5185885419403868,9,9,9x9,0,5,1,-0.27304677507520597
15696249,15696249#0,0,c1d62fc8ac48a35f3d3d,5,22,0.02197802197802198,0,0.7239794596268313,0.7239794596268313,0.024557055198494156,5,0.5586757964708589,9,9,9x9,0,5,1,-0.27304677507520597
17b80ad2,17b80ad2#0,0,47ac65385056f1356eb1,1,267,0.26673326673326675,1,0.9515811217327913,0.9515811217327913,0.27182244769449765,1,0.6842653175697344,17,17,17x17,0,5,1,0.008578430861234665
17b80ad2,17b80ad2#0,0,23d653de641c5cc9d56e,2,124,0.12387612387612387,0,0.9259179143442048,0.9259179143442048,0.12304114198647105,2,0.9706493139026626,17,17,17x17,0,5,1,0.008578430861234665
17b80ad2,17b80ad2#0,0,1a5473398c3022d28965,3,79,0.07892107892107893,0,0.9430026908715566,0.9430026908715566,0.07973988107385077,3,0.4327738898794485,17,17,17x17,0,5,1,0.008578430861234665
17b80ad2,17b80ad2#0,0,61dfacb4f3997f02a87d,4,50,0.04995004995004995,0,0.910515182548099,0.910515182548099,0.048855037509391595,4,0.8199447994306683,17,17,17x17,0,5,1,0.008578430861234665
17b80ad2,17b80ad2#0,0,26f356336aa838d07eeb,5,45,0.04495504495504495,0,0.8874471332463953,0.8874471332463953,0.042966851807390585,5,0.7856698834233814,17,17,17x17,0,5,1,0.008578430861234665
17cae0c1,17cae0c1#0,0,b87dc1bf62a42e90cd41,1,70,0.06993006993006994,0,0.17597230108383302,0.17597230108383302,0.06661312695002777,1,0.7383900946804456,3,9,3x9,0,5,0,
17cae0c1,17cae0c1#0,0,a5b3e374aa38345dc30a,2,38,0.03796203796203796,0,0.2621653386841035,0.2621653386841035,0.039416543531145765,2,0.5737591577987922,3,9,3x9,0,5,0,
17cae0c1,17cae0c1#0,0,db10d147947628676dff,3,34,0.03396603396603397,0,0.20342546368083095,0.20342546368083095,0.03325549792763722,3,0.6364777991000343,3,9,3x9,0,5,0,
17cae0c1,17cae0c1#0,0,12fab2eba4788d140bee,4,27,0.026973026973026972,0,0.2899894913244924,0.2899894913244924,0.028796690682208022,4,0.5810279730293486,3,9,3x9,0,5,0,
17cae0c1,17cae0c1#0,0,0f507a6dc38a6d056130,5,22,0.02197802197802198,0,0.22092376388174068,0.22092376388174068,0.02189811004061318,5,0.5415259951894934,3,9,3x9,0,5,0,
195ba7dc,195ba7dc#0,0,478022932b0d5172f67c,1,999,0.998001998001998,1,0.9666666388511658,0.9666666388511658,0.9980349571454076,1,0.9984267163085746,5,6,5x6,0,5,1,0.016666650772094727
195ba7dc,195ba7dc#0,0,5caf6f35c3828f6fbb2e,2,1,0.000999000999000999,0,0.949999988079071,0.949999988079071,0.0009825214272970258,2,0.9560948610305786,5,6,5x6,0,5,1,0.016666650772094727
195ba7dc,195ba7dc#0,0,6ebd402921ad7c3b5566,3,1,0.000999000999000999,0,0.949999988079071,0.949999988079071,0.0009825214272970258,3,0.7191400527954102,5,6,5x6,0,5,1,0.016666650772094727
1d0a4b61,1d0a4b61#0,0,1656d084198261da7dca,1,266,0.26573426573426573,1,0.9756906815961273,0.9756906815961273,0.2678413920014194,1,0.905974815774681,25,25,25x25,0,5,1,-0.0005073709846040719
1d0a4b61,1d0a4b61#0,0,40df840826db6e0677f5,2,4,0.003996003996003996,0,0.9761980525807313,0.9761980525807313,0.00402973415688131,2,0.5793465971946716,25,25,25x25,0,5,1,-0.0005073709846040719
1d0a4b61,1d0a4b61#0,0,0909f9719b2390b067c9,3,3,0.002997002997002997,0,0.9747916555371503,0.9747916555371503,0.0030180530505905,3,0.27850161989529926,25,25,25x25,0,5,1,-0.0005073709846040719
1d0a4b61,1d0a4b61#0,0,df3f619804a92fdb4057,4,2,0.001998001998001998,0,0.0,0.0,0.0007590824897136152,720,0.9615149199962616,0,0,0x0,1,5,1,-0.0005073709846040719
