dataset,operating_point,target_coverage,retained_puzzles,total_puzzles,coverage,b1_correct_count,accuracy,risk,accuracy_improvement_vs_full,mean_defect_retained,maximum_defect_included
arc2_supporting,decile,0.1,12,120,0.1,2.0,0.16666666666666666,0.8333333333333334,0.13749999999999998,0.00941967152338453,0.019567744841220924
arc2_supporting,decile,0.2,24,120,0.2,2.0,0.08333333333333333,0.9166666666666666,0.05416666666666666,0.01707428549360602,0.03575823519926846
arc2_supporting,decile,0.3,36,120,0.3,2.0,0.05555555555555555,0.9444444444444444,0.026388888888888885,0.028664583636433563,0.06447539301483718
arc2_supporting,decile,0.4,48,120,0.4,2.0,0.041666666666666664,0.9583333333333334,0.012499999999999997,0.04054864404894201,0.0878305580742933
arc2_supporting,decile+quartile,0.5,60,120,0.5,2.0,0.03333333333333333,0.9666666666666667,0.004166666666666666,0.05484954852678956,0.13106978581599737
arc2_supporting,decile,0.6,72,120,0.6,2.0,0.027777777777777776,0.9722222222222222,-0.001388888888888891,0.0758127449762205,0.2240440624396941
arc2_supporting,decile,0.7,84,120,0.7,3.5,0.041666666666666664,0.9583333333333334,0.012499999999999997,0.11598389552018454,0.4617295620661923
arc2_supporting,decile,0.8,96,120,0.8,3.5,0.036458333333333336,0.9635416666666666,0.0072916666666666685,0.18231565373897515,0.7468803589499329
arc2_supporting,decile,0.9,108,120,0.9,3.5,0.032407407407407406,0.9675925925925926,0.0032407407407407385,0.2568532206094522,0.9201305551598635
arc2_supporting,decile+quartile,1.0,120,120,1.0,3.5,0.029166666666666667,0.9708333333333333,0.0,0.3270191617624541,0.9914287041388813
