dataset,statistic,confidence_orientation,confidence_rank,retained_puzzles,total_puzzles,coverage,b1_correct_count,accuracy,risk,threshold_value,mean_statistic_retained
arc2_supporting,structural_defect,lower_is_more_confident,1,1,120,0.008333333333333333,1.0,1.0,0.0,2.7079641083116446e-05,2.7079641083116446e-05
arc2_supporting,structural_defect,lower_is_more_confident,2,2,120,0.016666666666666666,1.0,0.5,0.5,0.00016644244562602495,9.67610433545707e-05
arc2_supporting,structural_defect,lower_is_more_confident,3,3,120,0.025,2.0,0.6666666666666666,0.33333333333333337,0.0003656121600676965,0.00018637808225894595
arc2_supporting,structural_defect,lower_is_more_confident,4,4,120,0.03333333333333333,2.0,0.5,0.5,0.0032397930512225726,0.0009497318244998526
arc2_supporting,structural_defect,lower_is_more_confident,5,5,120,0.041666666666666664,2.0,0.4,0.6,0.0039044801050135414,0.0015406814806025904
arc2_supporting,structural_defect,lower_is_more_confident,6,6,120,0.05,2.0,0.3333333333333333,0.6666666666666667,0.009405355206406951,0.002851460434903317
arc2_supporting,structural_defect,lower_is_more_confident,7,7,120,0.058333333333333334,2.0,0.2857142857142857,0.7142857142857143,0.0108267517924574,0.003990787771696758
arc2_supporting,structural_defect,lower_is_more_confident,8,8,120,0.06666666666666667,2.0,0.25,0.75,0.013551335980632184,0.005185856297813686
arc2_supporting,structural_defect,lower_is_more_confident,9,9,120,0.075,2.0,0.2222222222222222,0.7777777777777778,0.01459237224247989,0.006231024736109931
arc2_supporting,structural_defect,lower_is_more_confident,10,10,120,0.08333333333333333,2.0,0.2,0.8,0.018375297044605554,0.007445451966959493
arc2_supporting,structural_defect,lower_is_more_confident,11,11,120,0.09166666666666666,2.0,0.18181818181818182,0.8181818181818181,0.019013793769798504,0.008497119403581221
arc2_supporting,structural_defect,lower_is_more_confident,12,12,120,0.1,2.0,0.16666666666666666,0.8333333333333334,0.019567744841220924,0.00941967152338453
arc2_supporting,structural_defect,lower_is_more_confident,13,13,120,0.10833333333333334,2.0,0.15384615384615385,0.8461538461538461,0.019714963602377122,0.010211617067922422
arc2_supporting,structural_defect,lower_is_more_confident,14,14,120,0.11666666666666667,2.0,0.14285714285714285,0.8571428571428572,0.01992219818143892,0.010905230004602171
arc2_supporting,structural_defect,lower_is_more_confident,15,15,120,0.125,2.0,0.13333333333333333,0.8666666666666667,0.021286828004807523,0.011597336537949195
arc2_supporting,structural_defect,lower_is_more_confident,16,16,120,0.13333333333333333,2.0,0.125,0.875,0.02137015255109842,0.012208137538771022
arc2_supporting,structural_defect,lower_is_more_confident,17,17,120,0.14166666666666666,2.0,0.11764705882352941,0.8823529411764706,0.02180568326503113,0.012772699052080439
arc2_supporting,structural_defect,lower_is_more_confident,18,18,120,0.15,2.0,0.1111111111111111,0.8888888888888888,0.022752349709852626,0.013327124088623339
arc2_supporting,structural_defect,lower_is_more_confident,19,19,120,0.15833333333333333,2.0,0.10526315789473684,0.8947368421052632,0.023903708668782775,0.01388378643494752
arc2_supporting,structural_defect,lower_is_more_confident,20,20,120,0.16666666666666666,2.0,0.1,0.9,0.02472143210439115,0.014425668718419701
arc2_supporting,structural_defect,lower_is_more_confident,21,21,120,0.175,2.0,0.09523809523809523,0.9047619047619048,0.026041128796039037,0.014978785864973003
arc2_supporting,structural_defect,lower_is_more_confident,22,22,120,0.18333333333333332,2.0,0.09090909090909091,0.9090909090909091,0.02921844986585298,0.015626043319558455
arc2_supporting,structural_defect,lower_is_more_confident,23,23,120,0.19166666666666668,2.0,0.08695652173913043,0.9130434782608696,0.030251663616989943,0.01626193985422939
arc2_supporting,structural_defect,lower_is_more_confident,24,24,120,0.2,2.0,0.08333333333333333,0.9166666666666666,0.03575823519926846,0.01707428549360602
arc2_supporting,structural_defect,lower_is_more_confident,25,25,120,0.20833333333333334,2.0,0.08,0.92,0.03823158252801262,0.01792057737498228
arc2_supporting,structural_defect,lower_is_more_confident,26,26,120,0.21666666666666667,2.0,0.07692307692307693,0.9230769230769231,0.03916661328917659,0.018737732602451294
arc2_supporting,structural_defect,lower_is_more_confident,27,27,120,0.225,2.0,0.07407407407407407,0.9259259259259259,0.04077122498833685,0.01955378787600261
arc2_supporting,structural_defect,lower_is_more_confident,28,28,120,0.23333333333333334,2.0,0.07142857142857142,0.9285714285714286,0.045160350799979376,0.02046830798043035
arc2_supporting,structural_defect,lower_is_more_confident,29,29,120,0.24166666666666667,2.0,0.06896551724137931,0.9310344827586207,0.04674981299829639,0.02137456677414987
arc2_supporting,structural_defect,lower_is_more_confident,30,30,120,0.25,2.0,0.06666666666666667,0.9333333333333333,0.054579107625191914,0.022481384802517938
arc2_supporting,structural_defect,lower_is_more_confident,31,31,120,0.25833333333333336,2.0,0.06451612903225806,0.935483870967742,0.05635407923744584,0.023574052364934966
arc2_supporting,structural_defect,lower_is_more_confident,32,32,120,0.26666666666666666,2.0,0.0625,0.9375,0.05688508729619435,0.024615022206536823
arc2_supporting,structural_defect,lower_is_more_confident,33,33,120,0.275,2.0,0.06060606060606061,0.9393939393939394,0.05778242260817368,0.025620094945980363
arc2_supporting,structural_defect,lower_is_more_confident,34,34,120,0.2833333333333333,2.0,0.058823529411764705,0.9411764705882353,0.05969082889336019,0.026622175356197417
arc2_supporting,structural_defect,lower_is_more_confident,35,35,120,0.2916666666666667,2.0,0.05714285714285714,0.9428571428571428,0.06229565578605878,0.027641417654193458
arc2_supporting,structural_defect,lower_is_more_confident,36,36,120,0.3,2.0,0.05555555555555555,0.9444444444444444,0.06447539301483718,0.028664583636433563
arc2_supporting,structural_defect,lower_is_more_confident,37,37,120,0.30833333333333335,2.0,0.05405405405405406,0.9459459459459459,0.06508260213930961,0.029648854406781566
arc2_supporting,structural_defect,lower_is_more_confident,38,38,120,0.31666666666666665,2.0,0.05263157894736842,0.9473684210526316,0.06752739751055009,0.03064565817267021
arc2_supporting,structural_defect,lower_is_more_confident,39,39,120,0.325,2.0,0.05128205128205128,0.9487179487179487,0.06810480097095611,0.0316061490136519
arc2_supporting,structural_defect,lower_is_more_confident,40,40,120,0.3333333333333333,2.0,0.05,0.95,0.07318721667706951,0.03264567570523734
arc2_supporting,structural_defect,lower_is_more_confident,41,41,120,0.3416666666666667,2.0,0.04878048780487805,0.9512195121951219,0.07509389657611842,0.03368099816550274
arc2_supporting,structural_defect,lower_is_more_confident,42,42,120,0.35,2.0,0.047619047619047616,0.9523809523809523,0.07618748030829015,0.03469305726414053
arc2_supporting,structural_defect,lower_is_more_confident,43,43,120,0.35833333333333334,2.0,0.046511627906976744,0.9534883720930233,0.07683227950776239,0.0356730391767829
arc2_supporting,structural_defect,lower_is_more_confident,44,44,120,0.36666666666666664,2.0,0.045454545454545456,0.9545454545454546,0.0793845485271738,0.036666482571109965
arc2_supporting,structural_defect,lower_is_more_confident,45,45,120,0.375,2.0,0.044444444444444446,0.9555555555555556,0.07976373465627462,0.03762419928411362
arc2_supporting,structural_defect,lower_is_more_confident,46,46,120,0.38333333333333336,2.0,0.043478260869565216,0.9565217391304348,0.08207444397164232,0.03859050895123381
arc2_supporting,structural_defect,lower_is_more_confident,47,47,120,0.39166666666666666,2.0,0.0425531914893617,0.9574468085106383,0.08334094451816809,0.039542645878189855
arc2_supporting,structural_defect,lower_is_more_confident,48,48,120,0.4,2.0,0.041666666666666664,0.9583333333333334,0.0878305580742933,0.04054864404894201
arc2_supporting,structural_defect,lower_is_more_confident,49,49,120,0.4083333333333333,2.0,0.04081632653061224,0.9591836734693877,0.09223723401935291,0.04160351323201162
arc2_supporting,structural_defect,lower_is_more_confident,50,50,120,0.4166666666666667,2.0,0.04,0.96,0.09998822322394525,0.04277120743185029
arc2_supporting,structural_defect,lower_is_more_confident,51,51,120,0.425,2.0,0.0392156862745098,0.9607843137254902,0.10410273380253066,0.043973786380295
arc2_supporting,structural_defect,lower_is_more_confident,52,52,120,0.43333333333333335,2.0,0.038461538461538464,0.9615384615384616,0.10422766822682983,0.045132514877343745
arc2_supporting,structural_defect,lower_is_more_confident,53,53,120,0.44166666666666665,2.0,0.03773584905660377,0.9622641509433962,0.10714884152459658,0.04630263424804663
arc2_supporting,structural_defect,lower_is_more_confident,54,54,120,0.45,2.0,0.037037037037037035,0.962962962962963,0.11070412261120943,0.04749525440292001
arc2_supporting,structural_defect,lower_is_more_confident,55,55,120,0.4583333333333333,2.0,0.03636363636363636,0.9636363636363636,0.11101508901022106,0.048650160486689124
arc2_supporting,structural_defect,lower_is_more_confident,56,56,120,0.4666666666666667,2.0,0.03571428571428571,0.9642857142857143,0.11414541415233088,0.04981971858786129
arc2_supporting,structural_defect,lower_is_more_confident,57,57,120,0.475,2.0,0.03508771929824561,0.9649122807017544,0.12054947817892886,0.05106059156314319
arc2_supporting,structural_defect,lower_is_more_confident,58,58,120,0.48333333333333334,2.0,0.034482758620689655,0.9655172413793104,0.12293400838689106,0.05229978840493194
arc2_supporting,structural_defect,lower_is_more_confident,59,59,120,0.49166666666666664,2.0,0.03389830508474576,0.9661016949152542,0.12651539830532355,0.05355768009815892
arc2_supporting,structural_defect,lower_is_more_confident,60,60,120,0.5,2.0,0.03333333333333333,0.9666666666666667,0.13106978581599737,0.05484954852678956
arc2_supporting,structural_defect,lower_is_more_confident,61,61,120,0.5083333333333333,2.0,0.03278688524590164,0.9672131147540983,0.1367926723660995,0.05619287842579464
arc2_supporting,structural_defect,lower_is_more_confident,62,62,120,0.5166666666666667,2.0,0.03225806451612903,0.967741935483871,0.14120710451409646,0.05756407562076725
arc2_supporting,structural_defect,lower_is_more_confident,63,63,120,0.525,2.0,0.031746031746031744,0.9682539682539683,0.1480512375756895,0.05900037977878189
arc2_supporting,structural_defect,lower_is_more_confident,64,64,120,0.5333333333333333,2.0,0.03125,0.96875,0.15361657678976925,0.06047875785707857
arc2_supporting,structural_defect,lower_is_more_confident,65,65,120,0.5416666666666666,2.0,0.03076923076923077,0.9692307692307692,0.1739354790574993,0.062224245875546584
arc2_supporting,structural_defect,lower_is_more_confident,66,66,120,0.55,2.0,0.030303030303030304,0.9696969696969697,0.1771251834180385,0.06396516917164495
arc2_supporting,structural_defect,lower_is_more_confident,67,67,120,0.5583333333333333,2.0,0.029850746268656716,0.9701492537313433,0.18014886872280123,0.06569925423957265
arc2_supporting,structural_defect,lower_is_more_confident,68,68,120,0.5666666666666667,2.0,0.029411764705882353,0.9705882352941176,0.18841086265107232,0.06750383671621235
arc2_supporting,structural_defect,lower_is_more_confident,69,69,120,0.575,2.0,0.028985507246376812,0.9710144927536232,0.20881440121700945,0.06955181591187608
