dataset,comparison_type,baseline,sign_convention,puzzles,resamples,seed,observed_delta,bootstrap_mean_delta,bootstrap_standard_error,ci95_low,ci95_high,fraction_defect_lower_aurc,fraction_equal,two_sided_bootstrap_p
arc1_normal_test,frozen_confidence_baseline,vote_margin,defect_minus_baseline; negative favors defect,200,10000,20260807,0.05510777038463133,0.055162982472176894,0.015356738846069029,0.02703551869187188,0.08649194590784394,0.0002,0.0,0.0005999400059994001
arc1_normal_test,frozen_confidence_baseline,vote_share,defect_minus_baseline; negative favors defect,200,10000,20260807,0.05379603155725149,0.053833597118894363,0.015381232341563605,0.025594280662340593,0.08507348759741762,0.0001,0.0,0.00039996000399960006
arc1_normal_test,frozen_confidence_baseline,vote_entropy,defect_minus_baseline; negative favors defect,200,10000,20260807,0.03817293685514633,0.03811648646652777,0.015852805254367792,0.008445785063642137,0.0704103186743909,0.0059,0.0,0.011998800119988001
arc1_normal_test,frozen_confidence_baseline,winner_mean_q,defect_minus_baseline; negative favors defect,200,10000,20260807,0.0030848603888595227,0.0028891190329988865,0.021177843354200053,-0.03849454231179205,0.04444328644283999,0.4438,0.0,0.8877112288771123
arc1_normal_test,analytic_random_expectation,random_order_expectation,defect_minus_baseline; negative favors defect,200,10000,20260807,-0.28163832146191997,-0.2801631742358245,0.016335556066032302,-0.3096076300081239,-0.2463203774253707,1.0,0.0,0.00019998000199980003
