dataset,statistic,confidence_orientation,puzzles,resamples,seed,observed_aurc,bootstrap_mean,bootstrap_standard_error,ci95_low,ci95_high
arc1_normal_test,structural_defect,lower_is_more_confident,200,10000,20260807,0.31586167853807995,0.3177703257641755,0.03791694447616853,0.24680880147422518,0.3948521220258649
arc1_normal_test,vote_share,higher_is_more_confident,200,10000,20260807,0.26206564698082846,0.2639367286452811,0.03452240539701168,0.19982569046796309,0.33511969016384835
arc1_normal_test,vote_margin,higher_is_more_confident,200,10000,20260807,0.2607539081534486,0.26260734329199864,0.03445800431108318,0.19874390968951086,0.33396623770208433
arc1_normal_test,vote_entropy,lower_is_more_confident,200,10000,20260807,0.2776887416829336,0.27965383929764775,0.035665441428956494,0.21257995492095855,0.35334729564009043
arc1_normal_test,winner_mean_q,higher_is_more_confident,200,10000,20260807,0.3127768181492204,0.31488120673117664,0.03839934807371842,0.24347878104705084,0.39437570901138075
arc1_blank_test,structural_defect,lower_is_more_confident,200,10000,20261816,0.922868554959021,0.924896585410055,0.030847478846968677,0.8594246481700603,0.9773523396824799
arc2_supporting,structural_defect,lower_is_more_confident,120,10000,20262825,0.9180768700795726,0.9215326745185619,0.046713172409970874,0.8261435387233548,0.9978830911092326
