dataset,puzzles,resamples,seed,observed_defect_aurc,defect_aurc_bootstrap_mean,defect_aurc_bootstrap_se,defect_aurc_ci95_low,defect_aurc_ci95_high,observed_random_expected_aurc,observed_defect_minus_random,defect_minus_random_bootstrap_mean,defect_minus_random_ci95_low,defect_minus_random_ci95_high,fraction_defect_beats_random,defect_minus_random_two_sided_bootstrap_p,coverage,retained_instances,retained_count_convention,observed_accuracy,accuracy_bootstrap_mean,accuracy_bootstrap_se,accuracy_ci95_low,accuracy_ci95_high,observed_risk,risk_ci95_low,risk_ci95_high
arc1_blank_test,200,10000,20261816,0.922868554959021,0.924896585410055,0.030847478846968677,0.8594246481700603,0.9773523396824799,0.96,-0.03713144504097898,-0.035048914589945045,-0.08017539343748889,-0.0031207315016965487,0.9945,0.011198880111988802,0.25,50,round(N*coverage); exact for these predetermined fractions,0.1,0.092564,0.04125622512556331,0.02,0.18,0.9,0.8200000000000001,0.98
arc1_blank_test,200,10000,20261816,0.922868554959021,0.924896585410055,0.030847478846968677,0.8594246481700603,0.9773523396824799,0.96,-0.03713144504097898,-0.035048914589945045,-0.08017539343748889,-0.0031207315016965487,0.9945,0.011198880111988802,0.5,100,round(N*coverage); exact for these predetermined fractions,0.08,0.07863099999999999,0.027161178397875085,0.03,0.14,0.92,0.86,0.97
arc1_blank_test,200,10000,20261816,0.922868554959021,0.924896585410055,0.030847478846968677,0.8594246481700603,0.9773523396824799,0.96,-0.03713144504097898,-0.035048914589945045,-0.08017539343748889,-0.0031207315016965487,0.9945,0.011198880111988802,0.75,150,round(N*coverage); exact for these predetermined fractions,0.05333333333333334,0.053405999999999995,0.01844119345937418,0.02,0.09333333333333334,0.9466666666666667,0.9066666666666666,0.98
arc1_blank_test,200,10000,20261816,0.922868554959021,0.924896585410055,0.030847478846968677,0.8594246481700603,0.9773523396824799,0.96,-0.03713144504097898,-0.035048914589945045,-0.08017539343748889,-0.0031207315016965487,0.9945,0.011198880111988802,1.0,200,round(N*coverage); exact for these predetermined fractions,0.04,0.04005450000000001,0.013830895094530634,0.015,0.07,0.96,0.9299999999999999,0.985
