split,puzzles,descriptors,auroc_defect_for_incorrectness,auroc_negative_defect_for_correctness,puzzle_weighted_point_biserial_defect_correctness
all,400,419,0.8215755208333333,0.8215755208333333,-0.3561751889305399
dev,200,208,0.8048226728254912,0.8048226728254912,-0.3402942496399334
test,200,211,0.8418617947451856,0.8418617947451856,-0.37240640283659626
