task_id,puzzle_id,pair_index,emitted_candidates,distinct_candidate_grids,orbit_dispersion,majority_vote_mass,top2_vote_mass,top5_vote_mass,mean_candidate_multiplicity,max_candidate_multiplicity,singleton_grid_fraction,invalid_emissions,invalid_emission_fraction,b1_correct,d_count_distinct,d_count_multiset,d_count_non_identical_support,split
00576224#0,00576224,0,1001,1,0.0,1.0,1.0,1.0,1001.0,1001,0.0,0,0.0,1.0,,,,dev
009d5c81#0,009d5c81,0,1001,28,0.08316620457104706,0.4985014985014985,0.7472527472527473,0.9770229770229771,35.75,499,0.8214285714285714,0,0.0,0.0,-0.08792806373541882,-0.06477640662851065,-0.4845931179424025,test
00dbd492#0,00dbd492,0,1001,132,0.1332742117111413,0.2047952047952048,0.3306693306693307,0.5124875124875125,7.583333333333333,205,0.5454545454545454,0,0.0,1.0,0.296491178403016,0.2619811627753048,0.17560889706171356,test
03560426#0,03560426,0,1001,645,0.09950596796400779,0.03696303696303696,0.06693306693306693,0.13786213786213786,1.551937984496124,37,0.8527131782945736,0,0.0,0.0,0.14524792782448825,0.16962890673069347,0.16428961319015234,dev
05a7bcf2#0,05a7bcf2,0,1001,952,0.12855611266979972,0.006993006993006993,0.012987012987012988,0.023976023976023976,1.0514705882352942,7,0.9653361344537815,0,0.0,0.0,0.19334024390223445,0.19560808259548543,0.19268515438934417,dev
0607ce86#0,0607ce86,0,1001,8,0.0022521069266312477,0.987012987012987,0.991008991008991,0.997002997002997,125.125,988,0.5,0,0.0,1.0,0.10911793526715807,0.15311803250717015,-0.421074589394718,dev
0692e18c#0,0692e18c,0,1001,10,0.004213148094288632,0.8681318681318682,0.9330669330669331,0.9930069930069931,100.1,869,0.3,0,0.0,1.0,0.1517093301642839,0.6462303276414968,0.3938927711338647,test
070dd51e#0,070dd51e,0,1001,7,0.00026894693709056394,0.9920079920079921,0.9950049950049951,0.998001998001998,143.0,993,0.7142857142857143,0,0.0,1.0,0.04536092116265145,0.1336306209562122,-0.7572401854185358,test
08573cc6#0,08573cc6,0,1001,424,0.21102946871209893,0.061938061938061936,0.12087912087912088,0.2277722277722278,2.3608490566037736,62,0.7900943396226415,0,0.0,0.0,0.2033926651888921,0.32257601240954786,0.3004944461577815,dev
0934a4d8#0,0934a4d8,0,1001,998,0.9182841300682424,0.001998001998001998,0.003996003996003996,0.007992007992007992,1.003006012024048,2,0.996993987975952,0,0.0,0.0,0.04018359096714864,0.04262954906417018,0.04062831042835544,test
09c534e7#0,09c534e7,0,1001,548,0.06672901528745934,0.04095904095904096,0.08191808191808192,0.17082917082917082,1.8266423357664234,41,0.8613138686131386,0,0.0,0.0,-0.04113451489189277,0.22285299235488196,0.20060219368124613,test
0a1d4ef5#0,0a1d4ef5,0,1001,50,0.33348424315231406,0.24375624375624375,0.42057942057942055,0.7262737262737263,20.02,244,0.42,3,0.002997002997002997,0.0,0.4453193336990496,0.4973771911005047,0.42290065876455823,dev
0a2355a6#0,0a2355a6,0,1001,472,0.20836578487494628,0.08691308691308691,0.16583416583416583,0.28471528471528473,2.1207627118644066,87,0.8686440677966102,0,0.0,0.0,-0.12202676787007821,-0.11632955774818471,-0.14293092607689037,dev
0b17323b#0,0b17323b,0,288,51,0.015213260534909345,0.2951388888888889,0.5,0.6631944444444444,5.647058823529412,85,0.6470588235294118,0,0.0,0.0,0.32544224100873803,0.37743018337842416,0.3402172636127425,dev
