method,baseline,metric,puzzle_count,resamples,accuracy,accuracy_ci95_low,accuracy_ci95_high,baseline_accuracy,difference,difference_ci95_low,difference_ci95_high,two_sided_bootstrap_p
B1,B1,rank1,200,10000,0.4025,0.335,0.4725,0.4025,0.0,0.0,0.0,1.0
B1,B1,top2,200,10000,0.455,0.3875,0.5225,0.455,0.0,0.0,0.0,1.0
M1,B1,rank1,200,10000,0.4025,0.335,0.47,0.4025,0.0,0.0,0.0,1.0
M1,B1,top2,200,10000,0.455,0.385,0.5225,0.455,0.0,0.0,0.0,1.0
M1+M2,B1,rank1,200,10000,0.4125,0.345,0.4825,0.4025,0.01,0.0,0.025,0.2663733626637336
M1+M2,B1,top2,200,10000,0.44,0.3725,0.51,0.455,-0.015,-0.035,0.0,0.09919008099190081
M1+M2+M3,B1,rank1,200,10000,0.4125,0.345,0.48,0.4025,0.01,0.0,0.025,0.263973602639736
M1+M2+M3,B1,top2,200,10000,0.44,0.3725,0.51,0.455,-0.015,-0.035,0.0,0.09499050094990501
