task_id,majority_vote_mass,distinct_candidate_grids
ed74f2f2#0,0.4975024975024975,18
ed98d772#0,0.028971028971028972,519
ef26cbf6#0,0.9270729270729271,49
f0afb749#0,0.7282717282717283,54
f0df5ff0#0,0.7452547452547452,207
f21745ec#0,0.008991008991008992,961
f3b10344#0,0.15984015984015984,372
f3cdc58f#0,0.07092907092907093,554
f3e62deb#0,0.4025974025974026,67
f3e62deb#1,0.4155844155844156,91
f4081712#0,0.001998001998001998,999
f45f5ca7#0,0.05194805194805195,298
f5aa3634#0,0.4855144855144855,156
f5c89df1#0,0.34165834165834164,248
f823c43c#0,0.99000999000999,3
f83cb3f6#0,0.919080919080919,16
f8be4b64#0,0.4255744255744256,53
f9a67cb5#0,0.03993055555555555,340
f9d67f8b#0,0.000999000999000999,1001
fafd9572#0,0.024975024975024976,658
fb791726#0,0.12087912087912088,403
fc754716#0,0.9600399600399601,2
fd096ab6#0,0.013986013986013986,988
fd4b2b02#0,0.2586805555555556,253
fe9372f3#0,0.04295704295704296,906
fea12743#0,0.04495504495504495,725
ff72ca3e#0,0.11288711288711288,553
