statistic,retained_puzzles,coverage,accuracy
structural_defect,1,0.008333333333333333,1.0
structural_defect,2,0.016666666666666666,0.5
structural_defect,3,0.025,0.6666666666666666
structural_defect,4,0.03333333333333333,0.5
structural_defect,5,0.041666666666666664,0.4
structural_defect,6,0.05,0.3333333333333333
structural_defect,7,0.058333333333333334,0.2857142857142857
structural_defect,8,0.06666666666666667,0.25
structural_defect,9,0.075,0.2222222222222222
structural_defect,10,0.08333333333333333,0.2
structural_defect,11,0.09166666666666666,0.18181818181818182
structural_defect,12,0.1,0.16666666666666666
structural_defect,13,0.10833333333333334,0.15384615384615385
structural_defect,14,0.11666666666666667,0.14285714285714285
structural_defect,15,0.125,0.13333333333333333
structural_defect,16,0.13333333333333333,0.125
structural_defect,17,0.14166666666666666,0.11764705882352941
structural_defect,18,0.15,0.1111111111111111
structural_defect,19,0.15833333333333333,0.10526315789473684
structural_defect,20,0.16666666666666666,0.1
structural_defect,21,0.175,0.09523809523809523
structural_defect,22,0.18333333333333332,0.09090909090909091
structural_defect,23,0.19166666666666668,0.08695652173913043
structural_defect,24,0.2,0.08333333333333333
structural_defect,25,0.20833333333333334,0.08
structural_defect,26,0.21666666666666667,0.07692307692307693
structural_defect,27,0.225,0.07407407407407407
structural_defect,28,0.23333333333333334,0.07142857142857142
structural_defect,29,0.24166666666666667,0.06896551724137931
structural_defect,30,0.25,0.06666666666666667
structural_defect,31,0.25833333333333336,0.06451612903225806
structural_defect,32,0.26666666666666666,0.0625
structural_defect,33,0.275,0.06060606060606061
structural_defect,34,0.2833333333333333,0.058823529411764705
structural_defect,35,0.2916666666666667,0.05714285714285714
structural_defect,36,0.3,0.05555555555555555
structural_defect,37,0.30833333333333335,0.05405405405405406
structural_defect,38,0.31666666666666665,0.05263157894736842
structural_defect,39,0.325,0.05128205128205128
structural_defect,40,0.3333333333333333,0.05
structural_defect,41,0.3416666666666667,0.04878048780487805
structural_defect,42,0.35,0.047619047619047616
structural_defect,43,0.35833333333333334,0.046511627906976744
structural_defect,44,0.36666666666666664,0.045454545454545456
structural_defect,45,0.375,0.044444444444444446
structural_defect,46,0.38333333333333336,0.043478260869565216
structural_defect,47,0.39166666666666666,0.0425531914893617
structural_defect,48,0.4,0.041666666666666664
structural_defect,49,0.4083333333333333,0.04081632653061224
structural_defect,50,0.4166666666666667,0.04
structural_defect,51,0.425,0.0392156862745098
structural_defect,52,0.43333333333333335,0.038461538461538464
structural_defect,53,0.44166666666666665,0.03773584905660377
structural_defect,54,0.45,0.037037037037037035
structural_defect,55,0.4583333333333333,0.03636363636363636
structural_defect,56,0.4666666666666667,0.03571428571428571
structural_defect,57,0.475,0.03508771929824561
structural_defect,58,0.48333333333333334,0.034482758620689655
structural_defect,59,0.49166666666666664,0.03389830508474576
structural_defect,60,0.5,0.03333333333333333
structural_defect,61,0.5083333333333333,0.03278688524590164
structural_defect,62,0.5166666666666667,0.03225806451612903
structural_defect,63,0.525,0.031746031746031744
structural_defect,64,0.5333333333333333,0.03125
structural_defect,65,0.5416666666666666,0.03076923076923077
structural_defect,66,0.55,0.030303030303030304
structural_defect,67,0.5583333333333333,0.029850746268656716
structural_defect,68,0.5666666666666667,0.029411764705882353
structural_defect,69,0.575,0.028985507246376812
structural_defect,70,0.5833333333333334,0.02857142857142857
structural_defect,71,0.5916666666666667,0.028169014084507043
structural_defect,72,0.6,0.027777777777777776
structural_defect,73,0.6083333333333333,0.0273972602739726
structural_defect,74,0.6166666666666667,0.02702702702702703
structural_defect,75,0.625,0.02666666666666667
structural_defect,76,0.6333333333333333,0.02631578947368421
structural_defect,77,0.6416666666666667,0.025974025974025976
structural_defect,78,0.65,0.02564102564102564
structural_defect,79,0.6583333333333333,0.02531645569620253
structural_defect,80,0.6666666666666666,0.03125
structural_defect,81,0.675,0.037037037037037035
structural_defect,82,0.6833333333333333,0.036585365853658534
structural_defect,83,0.6916666666666667,0.03614457831325301
structural_defect,84,0.7,0.041666666666666664
structural_defect,85,0.7083333333333334,0.041176470588235294
structural_defect,86,0.7166666666666667,0.040697674418604654
structural_defect,87,0.725,0.040229885057471264
structural_defect,88,0.7333333333333333,0.03977272727272727
