budget,repeats,pass_at_k_mean,majority_at_k_mean,selection_gap_mean,effective_budget_min,effective_budget_max,clamped_descriptors
50,10,0.07416666666666667,0.03125,0.042916666666666665,50,50,0
250,10,0.08472222222222223,0.029166666666666667,0.055555555555555546,72,250,1
1000,10,0.11583333333333334,0.029166666666666667,0.08666666666666667,72,1000,3
