method,puzzle_weighted_mrr_all,target_ranked_coverage,descriptor_median_finite_rank,max_finite_rank
B0,0.020833333333333332,0.020833333333333332,1.0,1.0
B1,0.045026946114763634,0.11666666666666667,4.0,121.0
M1,0.04419887577106884,0.11666666666666667,4.0,350.0
M1+M2,0.041594505414008845,0.11666666666666667,4.0,322.0
M1+M2+M3,0.041594505414008845,0.11666666666666667,4.0,322.0
