budget,repeat,puzzle_count,descriptor_count,effective_budget_min,effective_budget_max,clamped_descriptors,pass_at_k,majority_at_k,selection_gap
50,0,120,172,50,50,0,0.06944444444444445,0.029166666666666667,0.04027777777777778
50,1,120,172,50,50,0,0.07777777777777778,0.041666666666666664,0.036111111111111115
50,2,120,172,50,50,0,0.0861111111111111,0.03333333333333333,0.052777777777777764
50,3,120,172,50,50,0,0.08055555555555555,0.029166666666666667,0.05138888888888888
50,4,120,172,50,50,0,0.07777777777777778,0.029166666666666667,0.04861111111111111
50,5,120,172,50,50,0,0.08055555555555555,0.025,0.055555555555555546
50,6,120,172,50,50,0,0.07777777777777778,0.03333333333333333,0.044444444444444446
50,7,120,172,50,50,0,0.06111111111111111,0.03333333333333333,0.027777777777777776
50,8,120,172,50,50,0,0.06111111111111111,0.029166666666666667,0.03194444444444444
50,9,120,172,50,50,0,0.06944444444444445,0.029166666666666667,0.04027777777777778
250,0,120,172,72,250,1,0.08055555555555555,0.029166666666666667,0.05138888888888888
250,1,120,172,72,250,1,0.09166666666666666,0.029166666666666667,0.06249999999999999
250,2,120,172,72,250,1,0.08888888888888888,0.029166666666666667,0.05972222222222221
250,3,120,172,72,250,1,0.08888888888888888,0.029166666666666667,0.05972222222222221
250,4,120,172,72,250,1,0.08888888888888888,0.029166666666666667,0.05972222222222221
250,5,120,172,72,250,1,0.08888888888888888,0.029166666666666667,0.05972222222222221
250,6,120,172,72,250,1,0.08055555555555555,0.029166666666666667,0.05138888888888888
250,7,120,172,72,250,1,0.06944444444444445,0.029166666666666667,0.04027777777777778
250,8,120,172,72,250,1,0.08055555555555555,0.029166666666666667,0.05138888888888888
250,9,120,172,72,250,1,0.08888888888888888,0.029166666666666667,0.05972222222222221
1000,0,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,1,120,172,72,1000,3,0.10833333333333334,0.029166666666666667,0.07916666666666666
1000,2,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,3,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,4,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,5,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,6,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,7,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,8,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
1000,9,120,172,72,1000,3,0.11666666666666667,0.029166666666666667,0.0875
