method,baseline,metric,puzzle_count,resamples,accuracy,accuracy_ci95_low,accuracy_ci95_high,baseline_accuracy,difference,difference_ci95_low,difference_ci95_high,two_sided_bootstrap_p
B1,B1,rank1,120,10000,0.029166666666666667,0.004166666666666667,0.058333333333333334,0.029166666666666667,0.0,0.0,0.0,1.0
B1,B1,top2,120,10000,0.05,0.016666666666666666,0.09166666666666666,0.05,0.0,0.0,0.0,1.0
M1,B1,rank1,120,10000,0.029166666666666667,0.008333333333333333,0.058333333333333334,0.029166666666666667,0.0,0.0,0.0,1.0
M1,B1,top2,120,10000,0.04583333333333333,0.016666666666666666,0.08333333333333333,0.05,-0.004166666666666667,-0.0125,0.0,0.7343265673432656
M1+M2,B1,rank1,120,10000,0.029166666666666667,0.008333333333333333,0.058333333333333334,0.029166666666666667,0.0,0.0,0.0,1.0
M1+M2,B1,top2,120,10000,0.0375,0.008333333333333333,0.07083333333333333,0.05,-0.0125,-0.03333333333333333,0.0,0.26617338266173385
M1+M2+M3,B1,rank1,120,10000,0.029166666666666667,0.004166666666666667,0.058333333333333334,0.029166666666666667,0.0,0.0,0.0,1.0
M1+M2+M3,B1,top2,120,10000,0.0375,0.0125,0.07083333333333333,0.05,-0.0125,-0.03333333333333333,0.0,0.26117388261173885
