metric,puzzle_weighted_mean,descriptor_median,descriptor_min,descriptor_max
emitted_candidates,989.7166666666667,1001.0,72.0,1001.0
distinct_candidate_grids,673.3930555555556,845.0,1.0,1001.0
orbit_dispersion,0.32701916176245394,0.15219144508357135,0.0,0.9914287041388813
majority_vote_mass,0.11031161402255153,0.01998001998001998,0.000999000999000999,1.0
top2_vote_mass,0.14440235690235692,0.03396603396603397,0.001998001998001998,1.0
mean_candidate_multiplicity,8.719585016492267,1.184656862745098,1.0,576.0
max_candidate_multiplicity,105.59305555555555,20.0,1.0,988.0
singleton_grid_fraction,0.8625795480440906,0.9265733212887685,0.0,1.0
invalid_emissions,0.8527777777777779,0.0,0.0,58.0
invalid_emission_fraction,0.000851925851925852,0.0,0.0,0.057942057942057944
