method,puzzle_count,descriptor_count,rank1_accuracy,top2_accuracy,coverage,selection_gap,mrr
B0,120,172,0.020833333333333332,0.020833333333333332,0.11666666666666667,0.09583333333333334,0.020833333333333332
B1,120,172,0.029166666666666667,0.05,0.11666666666666667,0.0875,0.045026946114763634
M1,120,172,0.029166666666666667,0.04583333333333333,0.11666666666666667,0.0875,0.04419887577106884
M1+M2,120,172,0.029166666666666667,0.0375,0.11666666666666667,0.0875,0.041594505414008845
M1+M2+M3,120,172,0.029166666666666667,0.0375,0.11666666666666667,0.0875,0.041594505414008845
