split,puzzles,descriptors,auroc_defect_for_incorrectness,auroc_negative_defect_for_correctness,puzzle_weighted_point_biserial_defect_correctness
all,400,419,0.8583456698741673,0.8583456698741673,-0.23043569285647714
dev,200,208,0.9510309278350515,0.9510309278350515,-0.2675467124777621
test,200,211,0.7708333333333334,0.7708333333333334,-0.1971724983844381
