task_id,puzzle_id,pair_index,emitted_candidates,distinct_candidate_grids,orbit_dispersion,majority_vote_mass,top2_vote_mass,top5_vote_mass,mean_candidate_multiplicity,max_candidate_multiplicity,singleton_grid_fraction,invalid_emissions,invalid_emission_fraction,b1_correct,d_count_distinct,d_count_multiset,d_count_non_identical_support,split
00576224#0,00576224,0,1001,855,0.1742520541402186,0.06493506493506493,0.07592407592407592,0.0959040959040959,1.1707602339181287,65,0.9450292397660819,0,0.0,0.0,0.14167997324107479,0.14251007362880272,0.12986226998498887,dev
009d5c81#0,009d5c81,0,1001,449,0.9489274178360643,0.03396603396603397,0.05094905094905095,0.08691308691308693,2.2293986636971046,34,0.41648106904231624,2,0.001998001998001998,0.0,0.0019024868352327604,0.08816759396358227,0.03314665328390081,test
00dbd492#0,00dbd492,0,1001,961,0.17530098695416396,0.012987012987012988,0.016983016983016984,0.025974025974025972,1.0416233090530698,13,0.9750260145681582,0,0.0,0.0,0.14199765218812802,0.14370570946090178,0.1418987049154894,test
03560426#0,03560426,0,1001,889,0.17222775958872105,0.00999000999000999,0.015984015984015984,0.030969030969030968,1.125984251968504,10,0.9178852643419573,0,0.0,0.0,0.03405849688438745,0.040912095219887215,0.037551514842394385,dev
05a7bcf2#0,05a7bcf2,0,1001,979,0.09501666907973982,0.002997002997002997,0.004995004995004995,0.01098901098901099,1.0224719101123596,3,0.9785495403472931,0,0.0,0.0,0.06886037586129837,0.07095588934565226,0.06913183265526575,dev
0607ce86#0,0607ce86,0,1001,196,0.026106183947138706,0.44955044955044954,0.5594405594405594,0.6193806193806193,5.107142857142857,450,0.6377551020408163,0,0.0,0.0,0.34445293164319934,0.31372658875724313,0.27618171632343025,dev
0692e18c#0,0692e18c,0,1001,91,0.426702718282848,0.10989010989010989,0.20679320679320679,0.3296703296703296,11.0,110,0.32967032967032966,0,0.0,0.0,0.24203075903127302,0.5188440214269917,0.44133938785920085,test
070dd51e#0,070dd51e,0,1001,964,0.2470744441217757,0.006993006993006993,0.011988011988011988,0.021978021978021976,1.0383817427385893,7,0.9782157676348547,0,0.0,1.0,0.01647142982318602,0.024573209807917103,0.022151681599767055,test
08573cc6#0,08573cc6,0,1001,392,0.191455700260577,0.11888111888111888,0.15484515484515485,0.23676323676323677,2.5535714285714284,119,0.6428571428571429,0,0.0,0.0,0.09252386396480926,0.23061504907388664,0.21289550592528228,dev
0934a4d8#0,0934a4d8,0,1001,989,0.9170251177873795,0.002997002997002997,0.004995004995004995,0.01098901098901099,1.012133468149646,3,0.9888776541961577,0,0.0,0.0,0.03137826125278326,0.04006778197034672,0.03622080697463824,test
