definition,finite_descriptors,undefined_descriptors,puzzle_weighted_mean_spearman,descriptor_median_spearman
distinct,410,9,0.06056974813278677,0.05909164576353308
multiset,410,9,0.1289788533913368,0.12679322871655074
non_identical_support,410,9,0.08228684962316654,0.08340160008719065
