budget,repeats,pass_at_k_mean,majority_at_k_mean,selection_gap_mean,effective_budget_min,effective_budget_max,clamped_descriptors
50,10,0.056499999999999995,0.030000000000000006,0.026500000000000003,50,50,0
250,10,0.08375,0.0385,0.04525,72,250,7
1000,10,0.1025,0.039999999999999994,0.062499999999999986,72,1000,35
