method,covered_puzzles,rank1_given_covered,top2_given_covered,mrr_given_covered
B0,21,0.14285714285714285,0.14285714285714285,0.14285714285714285
B1,21,0.38095238095238093,0.42857142857142855,0.45744622422973996
M1,21,0.38095238095238093,0.42857142857142855,0.45716659062179377
M1+M2,21,0.42857142857142855,0.42857142857142855,0.47283613220898557
M1+M2+M3,21,0.47619047619047616,0.47619047619047616,0.5326244919973453
